Feature,4_IBA_23,4_IBA_25,4_IBA_32,4_IBA_35,4_IBA_37,4_IBA_38,4_IBA_39,4_IBA_40,5_MAR_41,5_MAR_42,5_MAR_43,5_MAR_44,5_MAR_45,5_MAR_46,5_MAR_47,5_MAR_48,2_OCT_10,2_OCT_11,2_OCT_12,2_OCT_13,2_OCT_14,2_OCT_15,2_OCT_16,2_OCT_17,2_OCT_18,1_SEPT_1,1_SEPT_2,1_SEPT_3,1_SEPT_4,1_SEPT_5,1_SEPT_6,1_SEPT_7,1_SEPT_8,1_SEPT_9,3_TOR_19,3_TOR_20,3_TOR_21,3_TOR_22,3_TOR_24,3_TOR_26,3_TOR_27,3_TOR_28,3_TOR_29,3_TOR_30,3_TOR_31,3_TOR_33,3_TOR_34,3_TOR_36
Adenylsuccinic acid,56827845.46,21774442.38,80538869.6,111381353.5,118075408.1,10679960.98,11031687.29,99725106.36,55086451.86,42620097.5,104243686.9,45988955.51,43403488.14,39424588.07,26144764.45,47218062.77,5588614.891,16826718.28,25031023.33,22073273.55,5320877.384,9686171.223,7357788.81,15695075.74,22549704.8,34635807.34,22972968.96,49138015.08,81457865.2,16178737.91,26283210.02,30989018.05,70474562.98,64201580.32,9040943.705,12982083.57,13220198.93,13841822.55,11007486.38,19823440.96,10673619.87,3871333.252,19394453.26,7064318.714,11975961.25,23612351.16,26073318.29,10984663.43
adrenaline,53737033.65,10792350.03,69457322.42,48156585.35,92918637.34,36574352.04,41025959.88,48973652.4,59390040.32,62749851.78,61482299.33,70151501.3,55173350.72,38442642.81,33086315.49,14845450.7,81210578.1,104469004.5,109853388.4,84002942.56,94487902.38,89064973.44,75764375.49,89181286.21,90978750.42,28593732.01,35122441.13,37574147.84,100035534.9,44295323.14,86749091.45,68586302.38,83583536.53,114943443.4,107957712.9,103522542.5,26535790.11,86144266.7,37121973.72,96428062.05,148599760.9,40174628.08,63806506.68,40101717.83,49867221.12,81025735.48,62809315.64,48311905.68
ALA-GLU_0,4636492.361,3370572.667,3441246.589,1869390.405,4064407.131,1472411.762,1120423.765,2420782.45,2773543.438,2007388.635,1054628.366,1526778.129,3279746.665,2266812.681,1475566.805,2254371.87,1687637.605,2222313.336,2686804.831,2858781.435,2388846.104,2060559.772,1536092.132,1505637.751,970131.4808,3671958.287,964289.5901,2271957.553,5830221.64,1972994.64,1461021.631,901921.4191,3543445.824,3122263.973,2925670.462,2300497.793,2798192.917,2648979.958,2124264.845,2458515.184,1629826.878,2179767.351,1367583.337,903020.9251,2167642.241,1869795.792,1643034.875,1159867.844
ALA-GLU_1,953362.679,3563149.881,1418973.502,954494.9612,1305525.257,1405774.013,1768798.939,1328564.088,1176557.557,2485394.826,819182.1545,1454956.836,1332875.155,1197822.082,2058158.545,1548602.731,2076027.019,2367709.079,3049864.42,2751116.421,2177973.307,2594482.582,2237999.902,1354486.798,903596.6634,515922.0085,542015.653,821040.2502,956624.6516,604065.464,961418.7259,576637.8333,788754.1217,753485.0418,1839928.67,2107308.174,2135573.628,3070941.678,2200891.697,2375151.179,2165276.706,2413618.446,1711620.477,1307251.65,2087004.026,2103455.308,2140314.979,1659669.721
Alanyltyrosine,7556170.981,3448593.054,5132336.668,949537.9886,10041468.14,1445879.497,699737.6516,1977617.721,4652409.983,1851678.327,630843.192,1074624.086,5584213.821,1666445.436,1431743.445,2392490.775,1332195.12,1515764.591,1860794.803,4830503.242,1380124.184,2718568.575,1371048.488,509829.6405,204191.7515,6054721.219,899876.4053,2620671.973,9527228.016,2283218.11,1677124.553,484665.4968,5452242.038,4120521.097,1790653.679,881733.4892,1614791.199,1107150.864,1325681.923,1340539.934,643189.2704,403848.7121,508172.7293,549497.3156,1331925.2,2059850.147,913974.9371,309919.2249
ALA-PRO,504351.445,1480874.578,938708.1419,971424.7786,909944.5067,1066631.817,687798.1205,2544328.937,560189.7772,945716.2407,742601.9347,583182.4531,1317363.851,306344.2523,345094.4119,556891.0247,675416.965,570945.9648,1135799.652,433105.1824,906288.5047,548409.715,400823.3016,327009.2291,542654.6137,206207.6706,443431.4652,433782.1641,233280.2889,103193.5023,324128.2692,167271.5668,164146.6278,374625.5359,1114496.166,622698.8101,1562621.17,1622465.377,988613.0987,1809924.789,318343.9629,895918.7317,1212527.698,394567.3444,273632.5774,523801.7752,855379.7935,612871.5556
Ala-Thr,4987553.078,3746283.019,5942348.077,3171687.535,4980003.681,2306598.108,1937104.19,2435021.754,2793620.904,1556190.943,1768387.186,1820245.322,1778807.585,1624714.18,1580674.875,1278093.13,1595211.024,2478755.461,3962057.455,4365676.606,2136471.985,3171394.161,1839520.331,1736974.746,1810167.604,4229202.102,1544423.726,2865167.694,7222801.829,2148233.042,1830165.126,1202672.227,4059285.812,4306995.261,4232767.581,2257221.751,3066658.538,3176180.977,2596721.212,3639684.38,1767688.597,1449702.733,2432496.428,1637618.092,2469162.981,2838799.532,3359976.559,1361299.313
Allysine,5664560.169,5887454.09,6512341.156,5898915.031,3555307.659,4427033.743,6193973.445,5535119.572,4926946.869,5802625.872,5009020.7,5110068.843,2118773.322,4020206.502,2782297.325,2267941.081,4727363.999,5135562.945,6894827.537,5126764.768,3926877.98,6283336.098,6280853.355,6408352.847,5753312.221,8371368.223,8692585.991,7334692.487,6693352.224,7130279.604,5116913.881,4608018.617,6738147.11,5677123.454,5403373.453,4641340.793,5563222.845,4547225.93,6115931.442,4801667.442,6203943.805,2598351.784,6856700.694,3903266.021,4071349.433,6996061.441,7398431.298,3661048.717
Aminocaproic acid,7089593.54,9846960.966,9398317.486,8650000.088,10054179.48,7929181.762,15501123.17,9338638.229,10126908.01,7657565.182,16014957.32,9389871.948,6912645.842,13722872.62,7951128.497,11442391.96,14848993.04,13707776.54,10372767.31,5165751.285,14387945.53,9897340.923,14477434.08,7608649.538,10640008.1,10617975.71,11721694.63,9783142.268,11279818.28,4255326.621,7850238.781,10776236.9,9590250.896,3724090.872,13611017.5,12687780.54,10763937.96,10219103.47,10719702.94,10274280.23,14117754.16,9473892.888,10795899.93,8470156.095,123331211.2,11661761.07,12092895.84,11787073.61
Arg-Asp,1520924.542,1652492.875,1888760.091,1785967.059,1409761.295,1625867.164,1819278.313,1615319.806,771179.1899,960025.3249,760531.9018,1416996.265,913076.0725,775218.8599,584701.9283,1647037.051,1689052.398,1319555.953,1279142.774,1102962.222,1494794.039,1164925.456,1276396.354,1279032.243,1332131.636,1387172.405,1544989.217,1839030.214,1153012.741,1234191.258,1086280.302,897105.9194,1109386.482,1898176.822,2651775.062,1966662.555,2017801.911,1142848.152,2036678.741,1757388.676,1545624.27,2075493.766,1107034.358,1240547.499,1601595.025,926422.3689,1479437.362,1338860.474
