Feature,4_IBA_23,4_IBA_25,4_IBA_32,4_IBA_35,4_IBA_37,4_IBA_38,4_IBA_39,4_IBA_40,5_MAR_41,5_MAR_42,5_MAR_43,5_MAR_44,5_MAR_45,5_MAR_46,5_MAR_47,5_MAR_48,2_OCT_10,2_OCT_11,2_OCT_12,2_OCT_13,2_OCT_14,2_OCT_15,2_OCT_16,2_OCT_17,2_OCT_18,1_SEPT_1,1_SEPT_2,1_SEPT_3,1_SEPT_4,1_SEPT_5,1_SEPT_6,1_SEPT_7,1_SEPT_8,1_SEPT_9,3_TOR_19,3_TOR_20,3_TOR_21,3_TOR_22,3_TOR_24,3_TOR_26,3_TOR_27,3_TOR_28,3_TOR_29,3_TOR_30,3_TOR_31,3_TOR_33,3_TOR_34,3_TOR_36
(+/-)-Homoproline,12991020.5,18736018.84,12365800.01,9598118.631,12902812.54,17218957.88,16339656.03,10384681.02,10272019.19,12920072.05,11429038.94,15540322.75,12578651.53,17136777.26,19321656.22,12710609.12,9988557.236,10200544.84,12063287.44,8850438.663,9609065.176,11033916.12,12228078.5,10610185.76,6993179.275,8112076.708,12995241.89,13199897.52,11240610.87,10900419.93,9217842.984,9672641.095,10750462.4,11744856.29,11999120.77,11431930.92,8987790.321,9976987.791,11292249.43,9288183.759,13735428.37,6173212.799,9301357.559,8787559.916,8327479.844,11460993.58,13554338.7,10082690.83
(2E)-2-Pentenoic acid,7551573.358,2743499.815,4405031.185,3946608.687,11211853.7,12318863.34,4603062.325,2636025.977,3778852.116,2403318.693,5454371.584,3731238.239,6790810.937,3856448.951,2232747.97,2297656.842,4539547.479,5828254.602,12504463.58,15421866.1,10047632.57,15528643.82,17303726.56,5951550.728,6778263.911,9011835.539,8031613.076,10643815.95,5591118.934,4895241.96,3940183.422,6961689.567,7299355.182,7387612.581,4417895.691,8662179.325,3585251.156,9900318.719,5838576.296,6448750.519,10400679.53,3326115.306,5560384.33,2505672.984,4005257.404,6484446.508,9524587.239,7911478.744
(2E)-hexadecenoylcarnitine,14637396.62,93751516.31,20766576.59,15634104.94,6387307.195,28243580.2,15551993.96,28721405.65,5846183.263,6719482.814,27162188.16,5838084.385,18027565.28,6154080.092,13705352.51,7596666.665,8076564.667,18797381.28,48071181.19,51526051.5,18549221.24,29545939.06,20410370.16,46020022.36,16390608.01,5488483.003,8154535.181,8377127.9,11504262.14,6646533.786,6744658.508,10197643.29,14534415.61,8268758.167,12592145.03,19607048.78,14489779.81,15247575.65,8034744.741,16446488.6,9202332.928,30689154.14,24652928.55,9751570.667,21007197.05,11415804.61,12950559.51,5636874.484
(2S)-2-Amino-8-hydroxyoctanoic acid,209803.4294,267446.3338,126055.3849,726352.6206,561805.2185,1117378.612,760431.6868,178807.287,1088643.114,425302.3107,277329.2282,507958.2043,182633.8116,250460.0308,509347.6353,1597056.224,910496.5482,374864.41,292655.0284,178089.4159,167775.1211,1588808.717,824085.0449,783266.6687,1596168.405,445102.1244,279430.4125,595912.7752,216475.5224,240751.8315,569063.253,663172.9426,321493.0059,227415.4945,1182731.751,883536.1859,525297.4137,370136.4539,499314.8408,455225.7752,699540.4273,77956.67179,940526.9625,527349.2096,600756.3007,124015.7824,635659.6627,2080158.304
(2S)-2-Methyl-4-(3H-purin-6-ylamino)butyl alpha-D-glucopyranoside,14125882.08,9852609.438,9895534.684,2829625.288,8394486.166,7169654.122,6966842.81,9377810.227,6079618.908,20200885.75,19664503.45,13947571.66,9132819.832,8924319.395,8427307.254,13702446.39,17353803.88,10643625.55,17002508.7,18184789.67,13502919.04,27327393.15,9214345.433,4265582.984,8971702.451,13680492.37,30626551.38,18619442.02,35818041.52,11268985.49,23082766.13,11542415.25,28560818.81,22237390.74,8036668.641,8460293.877,13142960.8,16923086.07,13549999.32,16420703.62,13996242.08,6110992.389,10787453.79,2130923.04,2346769.769,20729134.82,12743149.87,2617917.109
"(2S)-3-(1H-Imidazol-4-yl)-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",427398.7899,177241.4113,498147.2882,653298.307,633161.6073,464572.1063,737647.0328,405583.722,285100.5542,363699.6799,499128.8879,449090.3405,389426.427,258403.1455,341112.6672,392582.4178,668746.174,585733.672,311294.6373,383175.8121,548873.7116,705605.9064,554211.0613,558018.8171,953053.2708,459468.8254,364595.0762,438403.7754,471243.3143,302361.8108,286571.9616,327482.122,374549.1814,421472.5575,710430.6245,895404.4621,673859.6176,396023.6052,665338.0619,516525.9374,797478.4166,540196.0374,583749.703,577720.4504,642564.5267,573975.1434,534577.8801,721649.5997
(2S)-5-Carbamimidamido-2-(2-oxo-1-azetidinyl)pentanoic acid,517654.9355,666193.0106,590070.5595,624843.4476,925302.6086,663091.8441,641715.2677,262158.4874,450055.1309,310095.3221,492854.2431,485588.7434,635861.5292,408110.3703,319027.0902,265423.4344,635320.2545,1325840.586,709401.9297,637303.5414,1190802.714,391751.2158,674739.8874,994753.5709,467815.5674,515381.8234,635343.781,659281.7646,710762.1763,491944.7231,728091.5181,477960.0815,521079.6062,667641.6906,826668.2239,637070.6224,649897.1966,952194.8326,1217637.5,766114.3025,1519658.492,633149.8542,1376332.582,625085.5711,718325.2994,742068.9617,690565.9414,1002540.715
"(4S)-4-[(2E,4Z)-2,4-Decadienoyloxy]-4-(trimethylammonio)butanoate_0",50939106.15,2865926.195,7082876.46,4945155.776,6040188.457,3437823.571,39903698.89,2616922.124,25721939.4,27808182.4,3267195.163,14958018.21,6156341.695,15645554.42,18017602.43,5290027.501,6833989.419,3838897.999,6663987.866,54477169.81,8818736.029,7852282.86,32474923.7,1630117.959,88488567.21,6710959.288,5151658.955,22757935.74,29228218.11,3104676.655,31250508.32,20775724.33,12253781.13,26957606.6,2322822.777,10248558.74,15037467.31,5771434.662,19094678.88,22545767.14,4222504.032,73112735.57,4368784.961,5076874.891,56619432.9,3135770.348,5838712.327,9306202.792
"(4S)-4-[(2E,4Z)-2,4-Decadienoyloxy]-4-(trimethylammonio)butanoate_1",98444337.01,4231525.738,13102023.92,9015465.847,12271956.84,4206741.286,81248423.96,3666839.168,57610291,50064254.47,4818267.933,27652764.84,9071892.532,36427087.59,32088088.65,9557731.993,10680361.97,6987005.596,11212113.02,88658402.4,18711897.28,11953506.22,61799475.21,2865988.034,142630610,13104352.96,8631091.817,32624268.48,73390528.52,5465909.325,56674967.19,36635311.78,24727164.46,50618121.21,4018840.529,15720600.8,25801941.94,6686278.579,28846167.66,37462070.39,6750752.125,114842194.3,4237493.812,7960021.784,103367717,4710304.605,7739902.146,13417127.32
(4S)-4-{[(9Z)-3-Hydroxy-9-hexadecenoyl]oxy}-4-(trimethylammonio)butanoate_0,25676906.7,7790483.094,11424230.21,10993748.85,7377174.185,8416629.365,10838261.61,8547247.49,7390837.158,8882947.906,18452671.95,5842162.74,8019032.891,9737671.229,12362874.23,9059578.575,4067488.462,10792158.14,9711129.065,18216530.79,10700137.31,11240315.93,16172937.29,16251890.72,12013467.35,9204283.127,13643921.91,14682892.66,17071569.24,11326533.53,17027629.99,12372992.4,21614951.61,11378064.63,2907800.552,8241073.18,5728464.474,4289532.381,3659518.604,9496900.427,4589801.097,13461745.1,7611079.35,5617467.43,9533390.115,3901248.176,3911810.535,2762214.863
(4S)-4-{[(9Z)-3-Hydroxy-9-hexadecenoyl]oxy}-4-(trimethylammonio)butanoate_1,37423908.75,8193775.62,11493260.78,10254149.17,8340907.194,7039051.622,8758490.086,7217729.543,5284404.08,8995854.593,17548764.57,4448814.522,8803785.281,6078706.362,10145514.02,6971753.957,2606978.678,7886567.006,8747496.815,18615835.06,6113661.247,8294436.599,15064460.36,19796774.91,10692424.07,5765695.142,11965855.15,10578943.04,11590961.35,10510435.59,22285320.15,13184390.29,23294485.83,12659001.6,3715001.373,7970272.679,5654109.011,5047274.523,4126851.767,10857224.12,3203477.112,18805090.39,6471194.178,3268172.804,7551727.25,4276198.33,2983504.767,3640981.695
(4S)-4-{[(9Z)-3-Hydroxy-9-octadecenoyl]oxy}-4-(trimethylammonio)butanoate,24885882.71,7077063.956,6787718.721,6890612.6,4487818.181,6890366.212,7994118.741,8300875.391,5544012.561,7416884.723,12618562.52,3945403.961,8248484.193,5066031.19,7858296.254,8090381.407,3623014.797,8822444.883,9004509.504,18949714.41,10153755.53,10826955.61,13314337.58,16590302.39,8901402.911,6621528.396,13131227.76,10750541.83,13481355.08,8858910.887,11502335.62,9286515.665,21279380.64,9731131.084,3471079.764,6409709.299,6456098.716,4515378.821,3788703.9,7446242.421,3884368.514,14910823.43,5132579.731,4016651.816,8286463.964,3150760.179,2976445.061,3102726.63
(5S)-5-(D-Galactopyranosyloxy)-L-lysine,1602241.97,953551.9379,786573.7162,926497.8894,823729.0197,935277.59,1052047.933,793813.1168,1726759.103,846179.0299,841104.0128,2217910.731,764269.0581,1077508.698,1003675.015,1135223.742,1712969.234,2078251.067,1608825.643,1343931.103,2296486.042,1332859.031,1673993.425,936896.4982,1382636.52,1655157.164,2315473.462,2402509.771,1719834.455,1379248.632,1094977.881,1189408.243,1585154.515,1762800.355,1588984.877,1877281.885,1574637.7,2155569.433,1209305.937,1840763.162,2025769.561,2178283.386,1029127.327,820266.456,903895.4602,1556438.666,906669.0053,1161708.594
(E)-N-(1-Carboxyethylidene)-beta-alanine,543045.7517,342868.1893,2107361.612,3101752.711,232778.899,99782.90443,1884305.973,120325.0053,209331.3724,153310.7717,1892832.517,1681319.164,109317.2101,15306430.13,1103523.083,227853.3351,68210.97783,1247214.777,414176.4544,132562.3183,1478387.905,719991.0174,538350.1477,1834190.949,1405290.33,2444186.317,343168.8793,4383467.467,1379295.674,664650.1448,99755.95156,428016.5113,1450981.567,1205476.586,1970134.718,225301.997,6449219.221,2284201.594,2470044.284,1039025.719,790554.9193,77962.40557,1924625.156,1913860.717,2495995.657,464452.3993,1135319.321,24299285.69
(R)-(-)-allantoin,4305241.988,3015827.916,4214899.596,4764387.514,3370491.46,4355509.333,5119673.678,2231005.855,3049567.111,2969798.141,2649471.971,3430818.84,1465336.854,3263706.114,2139731.037,2260686.988,3073546.917,3432166.536,3870398.654,3585205.424,4185161.194,3995495.938,3121895.56,3697424.804,3647929.974,3834662.826,2760819.751,2891060.114,3997429.153,3959770.203,3345473.803,2237642.255,2458224.997,3271371.075,5030236.877,4752385.293,3848036.274,5246422.925,4892024.216,4147028.623,7438251.736,4544096.792,5253332.699,4170977.94,4054330.125,4750680.145,4366534.829,3538323.289
(R)-1-Aminopropan-2-yl phosphate,105755401.3,238651531,117932091.5,99437171.7,111853551.6,168318676.5,654496.093,91026861.5,124448912.9,161704947.4,159062222.2,170646397.3,95053691.81,132966554.2,162533649.3,168056669.8,150583939.8,163458634.2,200637137.9,191388101.2,127901463.9,126405406.6,709158.4044,111067484.7,140302393.6,185272100.1,189118007.5,200619479.4,143338314.9,187833303.3,106090393,158271092.6,586732.0552,165061426.1,200726014.1,183384475,97220183.57,110512640,138221576.6,886037.2166,153528045.2,135162446.7,132294161.2,59420931.82,574614.6307,122835213.7,129827998.3,132697623
(R)-3-hydroxybutyrylcarnitine,1602458010,353482914.6,2052364500,3896154923,1522456991,479512637.3,447574458.5,1028000325,2343993784,2111966309,1642490868,3058211887,2781779995,3828858516,2260745588,2433334143,444248505,271762137.2,203272592.9,464360304.1,249157135.1,612664009.5,600205842.9,1036167654,604255453.3,2163452447,1910874843,2097806172,2283345546,2526760347,1202453462,2341104304,1631779354,2785421148,295441209.4,379582131.7,290752047.3,292367069,153210544.9,387305084.5,948018009.8,311010177.5,311528140.4,203142325.4,240023399.1,59743510.29,156941593.5,480933480.1
(S)-(+)-2-Amino-1-propanol,27386655.25,60883830.71,36276169.54,110767708.6,25267698.29,47908738.81,49365582.73,31546476.15,144361773.4,46914736.56,66123997.5,49535701.9,15139209.82,85591287.68,163838934.5,43870449.71,36160726.66,97440881.74,149684494,139702760.3,110443146.4,181954087.8,74229383.42,53896411.82,166578145.2,735183704,565735975.5,679143724.9,507285427.8,206764291.1,112662117.6,90084565.29,400767123,486173251,32394279.83,65834814.44,34259989.75,80250975.71,284094270.9,247435736,82574184.93,53010384.57,89316290.68,48545806.99,156212460.5,67765611.78,50337204.07,65902055.96
"[Similar to: {3-[(3-{[4-(Hydroxymethyl)cyclohexyl]amino}-3-oxetanyl)methyl]-1,2-oxazol-5-yl}methanol; ?Mass: -184.1099 Da]",14765999.49,24462196.83,8954221.079,10309047.14,4949291.422,639307.0238,96612.79279,8436405.5,4126978.98,5485986.315,6122801.391,2944184.037,11783165.53,2231161.777,8186978.355,5718731.563,5491581.26,14184409.58,28734657.43,10952985.71,9515766.269,17834615.28,9336032.83,6833453.313,3960219.476,3203477.105,5704835.066,6054609.967,6263543.77,2529951.988,9539541.386,4030982.727,5883459.06,4775856.5,17492103.09,13657084.66,18191474.97,22299018.86,17123094.34,14165619.94,5343188.05,14836947.99,9647236.173,8628891.654,6998660.575,19757822.33,7896799.886,8198458.182
[Similar to: DL-Carnitine; Mass: -0.0906 Da],2824356.149,4217350.275,3296950.048,3379587.674,1754448.681,2429999.947,4863016.78,3743891.959,4967037.796,5392985.239,6484022.281,6147255.302,4005526.968,5405530.221,5842270.409,4220991.972,6091434.847,3697158.385,2719868.415,3166231.372,3546645.433,3458097.696,4428911.149,3325943.979,4490585.369,3205398.044,5617350.184,3795686.174,3986729.445,4285905.421,3272242.954,4150811.662,3549309.664,5128465.256,2433226.841,4347707.444,2314338.77,2238629.752,5028859.794,2472266.783,3497480.495,2019790.298,2789871.603,1920033.908,3862760.12,3608561.578,3721382.798,3406538.452
[Similar to: DL-Dipalmitoylphosphatidylcholine; Mass: -550.4961 Da],148151353.3,181410239,615682911.3,110211488.8,139971679.8,135743090.2,214613895.4,290605953.8,1022794679,265666525.2,94543794.85,783152921.8,75497189.11,117073697.8,154967030.5,95160450.22,349393671.7,296833872.7,176991321,290190742.8,402723709.4,181056969.4,361924017.4,183260066.6,157926636,207723742,256134975.8,132468824.9,171952421,293171089.6,192785954.8,130950741.5,135621061.4,122605117,158198899.8,563285852.3,210039107.4,358836343.5,347111103.5,174985364.7,220091717.3,246984176.9,154966414.6,262105124.1,162683730.9,133381308.1,136381252.1,1691441265
[Similar to: DL-Dipalmitoylphosphatidylcholine; Mass: -550.4962 Da],18076157.69,14721663.97,22143380.05,15169765.73,10152755.63,16493504.1,17434596.39,26068007.39,28437868.4,12755144.28,13303007.56,18260470.12,17140643.46,10392560.77,9627159.515,18268467.13,10195507.85,18868619.14,12261802.45,10584918.25,18867634.25,13986078.66,13777269.35,20170538.07,10717740.89,13801049.89,12876874.66,13986414.92,16546688.57,11475978.56,22450385.34,24480883.72,11038681.08,13585838.9,16243527.23,19078847.05,17391771.87,16043731.25,19156100.15,15959997.09,13631218.71,14004130.99,12297555.37,24741658.97,16291876.25,16566908.69,14608814.83,32001843.53
[Similar to: Ginsenoside Rd; Mass: -280.3284 Da],1010800.078,4394758.105,2142259.983,1100726.853,2893562.988,3734172.845,8284578.7,1390512.809,1295236.328,1439217.875,1976129.168,1527303.143,820086.3603,2437745.191,5888240.68,1922612.121,6139627.773,5639609.534,4301194.774,3299108.719,3180429.796,3418111.039,8454965.038,1434100.342,3022782.702,4301707.951,2195234.736,4164151.243,8861125.684,6590703.836,3651114.185,7280046.011,3302902.148,1996303.616,1114565.88,1344358.192,4301489.252,2340447.189,4775248.416,1957538.311,2557174.179,2992471.051,1080906.292,851695.3432,2525068.806,1620490.744,1777601.023,1988165.831
[Similar to: L-Glutathione (reduced); Mass: -75.0321 Da],1962294.797,2635238.408,2212091.696,2071149.516,1253041.385,1455101.8,3221782.025,2521397.833,3809153.383,3998258.444,4209994.992,4089314.721,2685542.782,4200799.693,3908053.849,2966802.057,3873747.438,2279020.382,1645814.322,1913840.932,2438653.228,2178814.986,3019037.364,1963389.036,3143678.236,2132523.53,3408478.491,2246258.773,3019191.732,3108501.631,2178987.468,2370746.105,2355101.918,3537512.966,1636490.229,2661849.601,1583441.67,1400448.369,2957067.978,1618316.066,2168294.44,1279888.071,1648143.12,1088222.734,2420092.506,2285600.259,2277141.112,2198562.029
[Similar to: Nicotinamide adenine dinucleotide (NAD+); Mass: 0.0544 Da],1815425.042,393384.1047,976696.1621,1641943.729,1197224.019,190606.2707,772516.6103,707038.2732,1290347.124,1488902.867,1335283.543,2834939.862,183443.6336,865475.3658,929885.9021,574980.8256,645626.1122,763075.9452,984601.362,500646.1701,520540.1725,604227.9145,887611.7169,622270.0031,1345466.819,1455830.665,805160.9574,1974253.388,1756388.172,1351380.463,1338303.737,749366.5835,731700.7968,1732214.194,1622156.105,974585.9594,2613487.969,1751281.227,868519.0229,914339.5103,316104.9821,1939632.44,957116.4001,429705.1625,594394.4936,490503.2044,481930.1195,437375.0104
[Similar to: Nicotinamide adenine dinucleotide (NAD+); Mass: -76.0063 Da],214895.2127,13197906.29,423119.4901,50186654.96,421449.1254,657396.3964,133063.4271,307703.6804,8327521.258,383516.5399,243423.1814,2028599.454,299537.8476,1869980.382,295607.0607,759763.2359,6646407.529,14133978.29,6993268.308,13341121.85,32253552.85,7879766.225,1689352.921,757244.6052,272057.7052,2185363.5,295130.0401,186057.9381,27855442.84,18266975.86,44685073.44,3928014.829,10693518.09,4587049.33,361072.5315,7030373.917,1360780.54,363741.6315,127419.8668,591361.8987,1337147.939,877722.5008,4435495.999,250566.0786,759739.4861,132666.6743,11943653.53,1843542.843
[Similar to: Taurochenodeoxycholic acid; Mass: 96.9833 Da],3811323.285,1260195.921,1603115.175,2395981.464,1408341.498,1345118.692,567351.9257,588627.566,1252070.068,391333.7033,717199.4976,904832.026,233901.8156,475197.72,1556819.314,2020695.856,1051923.331,795053.0985,502163.3718,1228843.186,1084076.372,1383899.691,952483.5271,2634972.183,1970954.44,2611892.768,1590661.028,2089509.523,1142460.665,1143843.697,320759.8514,973664.4274,1281872.657,1037853.2,476164.0037,1018440.192,4236377.907,1036400.752,3680741.807,1954921.824,4398152.75,1934797.576,808874.4655,2227358.13,2065763.289,685694.3058,895987.1648,917034.1834
"1-(beta-D-Ribofuranosyl)-1,2-dihydropyrimidine",344081030.6,308622692.6,253639341.9,183002672.1,155802245.9,182819386.6,178543856.5,406680335.2,170462576.7,370216401.1,344485528.5,348838204.4,211531397.9,399690432.3,320396951.9,162066400.9,240772877,433328119.2,278565707.9,325863662.1,308198408.1,382591671.7,442669856.6,68690981.27,300376487,346311887.4,229748454.2,194234381.8,258147944,180454089.2,161318202.8,175839549.5,304441113.1,291497300.5,322866441.3,295301257.4,245265181.4,352696114.5,284222940.2,401725039.5,488322888.8,214988295.8,239521077.9,89149219.68,255961622.1,451328272.6,298428007.5,400498998.4
"1-(beta-D-Ribofuranosyl)-1,3,4,7-tetrahydro-2H-1,3-diazepin-2-one",1076440.274,1126839.127,1618098.425,1760825.515,1516990.049,447933.6311,558250.2498,1295365.906,1024695.815,849364.9887,1019144.176,1230587.45,906604.9966,937710.9372,815839.6809,1559299.586,1480429.584,1784038.68,1096339.146,957137.1198,990027.8152,737847.872,964391.6962,1323417.843,1106456.305,1104737.903,827585.6857,851286.119,1797806.316,666864.6103,898057.5273,763584.6042,1189648.565,1633343.435,749134.913,776201.1684,849155.3227,656413.6915,685825.4491,781386.6168,682392.5488,677799.9783,604736.4603,500773.7904,675460.0315,738498.9823,890409.1319,1183539.123
"1,3-Dimethyl-6-morpholino-1,2,3,4-tetrahydropyrimidine-2,4-dione",1028241.155,2089847.389,1303301.159,415904.3102,1314104.216,935645.2872,1994020.35,406381.2549,410809.5818,448261.7716,762200.3227,303136.1448,811018.6235,2355565.799,225416.1651,597248.6511,1073851.251,825226.3462,543430.1045,791886.7473,552619.9071,714835.9729,290815.3707,493362.7621,1053953.407,575935.1088,602867.0652,410059.2347,1323882.472,389968.515,708667.4666,446616.1918,956178.0264,442901.4971,1687433.806,2440477.657,733910.7191,645538.7357,4057516.671,3234867.881,2443572.444,1883763.331,1706924.062,300273.1209,346914.5965,1871176.723,975717.4371,543727.3105
"1,3-Dipropylxanthine",2609346.869,2739927.892,1064082.973,1708774.977,1822570.639,2704053.427,1862363.222,1894331.864,1119128.9,2308055.156,1880578.642,1843768.249,928138.0967,1484894.86,2674212.436,956692.5575,4082711.295,2429424.432,3225845.908,4295004.662,1999765.738,3748700.21,3401154.377,843700.1081,581786.8216,1855073.154,3089516.443,1875029.763,3213393.13,1384998.059,2374878.999,1095587.218,2502735.893,2006986.851,3581113.491,1780940.256,1990563.115,2540572.297,1900112.648,3904972.629,3926813.401,972565.8712,2366869.395,585188.9488,1425625.122,3312705.429,1992988.613,1810068.93
1-AMINOCYCLOPROPANE-1-CARBOXYLATE,13826338.12,15634948.48,11203101.84,16776052.81,9294578.5,14278531.26,13418112.85,12834570.41,15862203.75,20628871.73,12738082.77,20546463.1,9226751.477,17921673.91,21135478.38,12082239.98,24268693.26,19977666.81,15820170.38,10749581.54,9855361.354,10121153.82,14241141.21,9689694.623,11358277.46,14876448.87,28232608.26,32615021.71,20645506.95,26651294.39,17598376.61,23906397.58,30495036.49,27265241.92,12602353.23,15182025.06,15437849.44,11196473.68,11839215.23,11025628.56,14936059.61,9641658.54,12131778.72,8339910.413,15284134.64,12512093.49,13896720.76,13834919.79
"1D-myo-Inositol 1,2-cyclic phosphate",143680217.4,114693200.2,130316704.8,93186031.13,158367577.9,186373735.1,238427043.4,197860317.3,148123269.9,244384231.3,101069963.8,220240177.7,231402106.6,232582244.5,321868955.6,182806591.9,365133565.3,365410511.4,197416724.6,173179579.5,267809599.8,369515065.3,350355993.9,363107744.4,96195903.64,244716889.4,308477899.2,275532358.2,344316256.2,231813895,208700003,224371359,200862156.4,245601021,288956657.1,140834956.1,197191419.9,152980553.7,188673785.6,117381973.9,171258779.9,122177787.9,29771646.77,133436920.8,98709612.08,221833041.8,114326229.8,92388657.11
1-Linoleoyl-2-Hydroxy-sn-glycero-3-PC,19986398.86,26715047.82,7225744.056,4951698.756,8744885.686,4294787.799,6577415.407,4645842.261,4847409.399,3289349.346,3905707.828,2327072.468,3753999.64,1779348.035,2950467.794,1722473.033,1104976.863,3351232.074,8908502.527,6173734.598,4234874.415,4000931.311,2895749.053,10345823.98,2341196.762,5044762.374,5484544.879,6467344.275,4283054.702,8475979.754,10512282.68,8737162.759,7191003.127,11162924.26,3709340.787,4596889.717,1934872.087,5061800.977,1350593.57,3396708.524,2243621.185,8628409.544,2504725.99,1168500.865,4340028.206,1027789.027,1512702.892,603887.4904
1-Methylguanine,3020714.916,2144764.991,3368811.376,5033237.53,3676493.757,1286338.172,1030597.145,3920482.064,2784553.161,2498765.598,2494536.975,2776063.951,4140442.689,3863342.419,2968009.434,3545796.282,2639822.037,2446429.85,1810313.923,1131789.15,1177120.734,1664072.003,1148987.68,3167902.443,1939543.009,2551067.337,2827268.725,2556467.294,2645346.328,2126427.068,1842420.171,2945816.042,2660445.614,2010318.86,1221361.804,1465116.798,1619733.044,1374796.543,1924252.671,1503376.055,1970984.033,913670.8082,1030731.249,936393.3388,807120.2405,1355999,1511023.082,1419422.525
1-Methylimidazoleacetic acid,2072066.421,2086107.123,1991091.796,2352424.223,3257737.062,2634021.673,3255911.181,172547.1237,2274337.353,2432011.344,2503616.396,2360242.791,2087916.156,2347057.746,2649713.721,1816186.073,2384911.679,2380391.977,3039771.937,2822465.013,2631343.511,2392700.18,2279202.844,3318106.641,2732929.218,2986577.371,3069216.238,3078317.617,1528611.835,2702995.065,2155968.664,2369563.54,2849776.475,2467044.382,2791764.499,2123796.892,2626834.765,2146685.999,2431488.684,1780926.741,2152250.69,1608771.37,1939834.414,2715406.807,1699556.307,2729518.96,3110133.774,1904090.481
2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,2028113.061,1125752.571,1506741.444,724769.2396,2400229.7,779252.0437,426186.2196,1122801.884,1623706.379,745762.3397,718414.2229,703835.45,1457004.119,1057177.172,910027.2957,1556293.256,1231655.718,2230114.785,1377242.352,2275246.047,1494554.996,1241074.271,1684648.606,316948.346,285840.1819,3195216.691,322388.0755,3962483.56,2855822.92,2669390.436,488540.9642,299563.207,3040248.434,2618292.567,970382.7648,956862.1469,1059874.695,884326.8777,433958.7319,877962.2358,463669.5882,157889.0767,635250.574,556662.7477,924105.8895,809363.4793,450120.4691,508808.3684
"2,2'-[1,2-Propanediylbis(oxy)]diethanol",301626.0296,918075.6483,1458604.798,1311246.535,1531838.248,1768113.96,811441.1709,1874592.058,1050283.384,1195779.085,1941211.527,1652278.274,797906.5366,612663.1586,2613184.574,4015398.811,1053092.408,994995.7376,871289.8359,640884.9316,1922565.182,1536585.932,1522405.573,356195.178,1136244.842,649085.7043,762785.894,514536.1802,747206.2782,809695.6273,966587.4169,647443.9078,530188.1826,1328446.146,1523926.478,1020919.263,1020165.574,1120572.48,635478.3046,1431785.848,1155069.3,1177283.737,744104.5197,1053245.658,833176.1685,1717867.329,1773089.599,1480935.931
"2,3-Bis(octanoyloxy)propanimidic acid",53912883,10302971.64,25871713.47,19969339.5,25506100.81,12960041.08,27488951.89,10778969.96,24726754.81,18645530.2,46836979.67,15603950.06,15516942.09,14330274.62,17250467.8,10919566.94,9222489.747,14543552.76,15120528.19,23130740.39,9961100.054,12198321.19,18166423.54,13905769.02,36907723.54,11487565.95,7038536.908,9475533.463,20605347.05,3561511.127,18468549.57,10062089.2,21285007.85,15489638.97,6056375.799,12923907.41,11902255.52,9319972.602,11909564.77,25318562.06,8446241.943,25243536.97,15969831.25,17891182.31,32113931.53,9570275.704,13621196.74,9799048.059
"2,4-Diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose",6654318.128,3649204.41,11782610.78,1007914.54,7252664.785,2167190.431,14563348.03,7774863.27,1623082.141,1985904.364,1883644.234,400104.5472,528305.5747,899234.13,386771.1411,279278.1308,9541389.031,12803963.05,7656981.934,20117886.99,7291054.03,27121515.29,5997601.969,4076710.435,2155702.454,1215549.783,940243.2363,1888385.067,20225030.66,33137201.75,7337983.934,3416087.951,5000476.431,1444031.29,4543363.985,1990363.539,5258916.94,11653161.43,31528557.36,19518521.78,1395324.344,5262930.006,12975498.02,1868807.886,11459597,9042570.497,25004607.54,4588315.479
2-[3-carboxylato-3-(methylammonio)propyl]-L-histidine dizwitterion,10774187.52,5642431.835,3281011.225,6232635.996,1511003.753,5806115.138,1511187.602,7669256.848,2656613.984,3893771.294,10197185.74,9256900.967,8837440.829,3703450.377,7645781.808,5723263.756,5901748.153,12337479.57,15892369.79,10598799.45,8364422.795,22689781.92,11852748.9,1605771.281,6120907.624,5692514.766,11666178.21,8493399.49,10929194.35,4958549.576,9383637.828,5238948.89,9093112.987,9416111.734,6429844.407,8028266.379,21765795.76,16417641.89,4829319.505,12072264.76,3265648.68,11387526.73,2873503.797,1524154.059,1991233.549,6807766.313,3519284.018,1934786.362
"2-amino-2,3,7-trideoxy-D-lyxo-hept-6-ulosonic acid",2113915.262,2575518.083,3514500.779,3143042.333,3024005.097,1951009.154,2808186.116,2635025.966,1396064.182,1232005.587,1822122.913,1684977.322,2045687.517,1220322.515,688408.7973,1506020.895,2966858.573,2514060.071,2174848.515,1591039.405,1917856.477,2121707.943,1757260.017,2604096.455,2488335.915,1805926.424,1734275.577,1858676.415,1823911.397,935406.4955,1196748.19,1050788.199,1673477.07,2180898.307,2619247.395,2999984.162,3737300.397,2240785.732,3079481.34,2256655.364,2209137.868,1131981.456,2914673.745,1920895.435,2175153.406,2022104.985,3757433.329,2854143.466
